Designator,Mid X,Mid Y,Rotation,Layer
C201,48.641,36.83,180.0,top
C202,39.2428,28.3212,270.0,top
C203,3.0478,16.7642,270.0,top
C204,9.0168,16.7642,270.0,top
C205,53.594,41.91,90.0,top
C206,50.546,41.91,270.0,top
C207,3.6828,24.2572,0.0,top
C209,15.494,35.941,270.0,top
C210,5.461,46.355,0.0,top
C211,6.4768,32.2582,0.0,top
C213,15.3668,25.2732,90.0,top
C214,12.9538,25.2732,90.0,top
C215,11.9378,20.9552,270.0,top
C216,18.7958,17.1452,270.0,top
C217,42.5448,28.8292,0.0,top
C218,42.5448,26.2892,0.0,top
C219,30.988,9.017,270.0,top
C220,42.5448,40.005,0.0,top
C221,42.545,37.465,0.0,top
C222,63.627,19.304,0.0,top
C223,54.1018,27.9402,180.0,top
C224,54.1018,30.4802,180.0,top
C225,26.797,31.496,0.0,top
C226,54.1018,33.020199,180.0,top
C227,29.082801,9.0367,270.0,top
C228,27.0508,9.0367,270.0,top
C229,38.1,36.957,270.0,top
C230,54.1018,35.5602,180.0,top
C231,60.1978,34.7982,270.0,top
C232,60.1978,27.94,270.0,top
D101,46.736,7.493,0.0,top
D201,48.641,33.528,90.0,top
D202,4.9528,20.9552,0.0,top
D203,12.3188,41.2752,0.0,top
D204,20.828,35.941,0.0,top
D205,16.7638,20.9552,0.0,top
D206,24.2568,28.3212,270.0,top
D207,29.0828,12.4802,90.0,top
D208,56.769,15.254999,180.0,top
D209,10.541,48.26,270.0,top
D210,65.532,22.606,0.0,top
D214,2.794,41.275,270.0,top
J106,27.94,2.54,90.0,top
J107,18.7958,41.5292,90.0,top
J109,50.8,2.54,90.0,top
J110,45.72,50.8,90.0,top
J112,10.7948,7.6202,270.0,top
J113,65.5318,29.2152,0.0,top
L201,6.0958,17.7802,0.0,top
L202,6.0958,15.7482,0.0,top
L203,6.4768,42.5452,180.0,top
L204,6.4768,40.0052,180.0,top
L205,9.1438,25.2732,270.0,top
Q201,24.2568,19.0502,90.0,top
R201,48.641,29.972,180.0,top
R202,48.641,38.608,180.0,top
R203,38.480799,26.0352,0.0,top
R204,61.976,41.91,90.0,top
R205,32.3358,39.1482,270.0,top
R206,37.7188,28.3212,90.0,top
R207,60.452,41.91,90.0,top
R208,29.2878,40.6722,270.0,top
R209,30.0498,42.9582,180.0,top
R210,32.3358,42.1962,90.0,top
R211,30.8118,40.6722,270.0,top
R212,52.07,41.91,270.0,top
R213,58.547,41.91,270.0,top
R214,57.023,41.91,90.0,top
R215,34.5438,40.6402,270.0,top
R216,55.498999,41.91,270.0,top
R217,34.5438,38.608199,270.0,top
R218,36.3218,39.1162,270.0,top
R219,36.3218,42.164201,270.0,top
R220,34.543799,42.6742,270.0,top
R221,9.9058,20.9552,270.0,top
R222,26.7968,27.5592,0.0,top
R223,26.7968,29.0832,0.0,top
R224,16.129,29.591,90.0,top
R225,14.478,29.591,90.0,top
R226,23.6218,11.0492,270.0,top
R227,14.2238,17.1452,180.0,top
R228,29.0828,15.9092,270.0,top
R229,61.976,14.859,90.0,top
R230,65.278,14.859,90.0,top
R232,65.405,21.082,180.0,top
TR201,42.5448,17.5262,0.0,top
U201,42.545,33.147,180.0,top
U202,47.498,41.91,180.0,top
U203,33.2738,33.5282,90.0,top
